"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2000,22.550805236258903
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2001,35.0368025730818
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2002,30.8002868001753
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2003,27.729579963107
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2004,21.0570938648206
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2005,16.4964013443623
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2006,26.4832968731749
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2007,39.6651142022886
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2008,33.6918102199563
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2009,41.62476315208
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2010,66.81667730617261
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2011,42.7056148176891
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2012,52.8665587202119
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2013,61.0221726655379
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2014,63.15884673590939
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2015,111.117544957123
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2016,140.51121907202398
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2017,97.3183854507199
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2018,109.055348434026
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2019,132.78853093523298
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2020,115.68433308907599
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2021,111.517409807568
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2022,85.128963454207
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2023,94.75394078514731
"COL","Colombia","Amazonas","admin1","Incidence Rate","Cases per Thousand",2024,104.092297880321
"COL","Colombia","Amazonas","admin1","Infection Prevalence","per 100 Children",2000,1.19370757146702
"COL","Colombia","Amazonas","admin1","Infection Prevalence","per 100 Children",2001,1.86017792198872
"COL","Colombia","Amazonas","admin1","Infection Prevalence","per 100 Children",2002,1.66866335113269
"COL","Colombia","Amazonas","admin1","Infection Prevalence","per 100 Children",2003,1.50624917835817
"COL","Colombia","Amazonas","admin1","Infection Prevalence","per 100 Children",2004,1.11692107741914
"COL","Colombia","Amazonas","admin1","Infection Prevalence","per 100 Children",2005,0.8174987393069649
"COL","Colombia","Amazonas","admin1","Infection Prevalence","per 100 Children",2006,1.30007488827796
"COL","Colombia","Amazonas","admin1","Infection Prevalence","per 100 Children",2007,1.8727115783699197
"COL","Colombia","Amazonas","admin1","Infection Prevalence","per 100 Children",2008,1.4877799054415801
"COL","Colombia","Amazonas","admin1","Infection Prevalence","per 100 Children",2009,1.7530190715213
