Country,City ,month ,Avg. Temperature °C (°F),Min. Temperature °C (°F),Max. Temperature °C (°F),Precipitation / Rainfall mm (in),Humidity(%),Rainy days (d),avg. Sun hours (hours)
Columbia , Valle del Cauca,January,"20.3 °C
(68.5) °F","17.2 °C
(63) °F","23.9 °C
(74.9) °F","307
(12)",83%,19,7.6
Columbia , Valle del Cauca,February,"20.5 °C
(68.8) °F","17.5 °C
(63.5) °F","24.1 °C
(75.4) °F","278
(10)",83%,17,7.8
Columbia , Valle del Cauca,March,"20.7 °C
(69.2) °F","17.7 °C
(63.9) °F","24.3 °C
(75.8) °F","308
(12)",82%,18,8.4
Columbia , Valle del Cauca,April,"20.8 °C
(69.5) °F","18.1 °C
(64.5) °F","24.3 °C
(75.7) °F","320
(12)",82%,17,9
Columbia , Valle del Cauca,May,"20.8 °C
(69.5) °F","17.8 °C
(64.1) °F","24.3 °C
(75.7) °F","221
(8)",82%,15,9.4
Columbia , Valle del Cauca,June,"20.8 °C
(69.4) °F","17.2 °C
(63) °F","24.6 °C
(76.3) °F","130
(5)",80%,11,9.9
Columbia , Valle del Cauca,July,"20.6 °C
(69.1) °F","16.7 °C
(62) °F","24.7 °C
(76.5) °F","120
(4)",80%,11,9.9
Columbia , Valle del Cauca,August,"20.7 °C
(69.2) °F","16.6 °C
(61.9) °F","25 °C
(76.9) °F","145
(5)",79%,11,9.8
Columbia , Valle del Cauca,September,"20.5 °C
(68.9) °F","16.9 °C
(62.5) °F","24.5 °C
(76.1) °F","221
(8)",81%,15,9.4
Columbia , Valle del Cauca,October,"20.2 °C
(68.4) °F","17.5 °C
(63.5) °F","23.6 °C
(74.6) °F","390
(15)",83%,19,8.2
Columbia , Valle del Cauca,November,"20.1 °C
(68.2) °F","17.7 °C
(63.9) °F","23.2 °C
(73.8) °F","479
(18)",84%,20,7.4
Columbia , Valle del Cauca,December,"20.2 °C
(68.4) °F","17.5 °C
(63.5) °F","23.6 °C
(74.4) °F","379
(14)",83%,19,7.4
Columbia ,Atlantico,January,"26.4 °C
(79.5) °F","25.4 °C
(77.7) °F","28 °C
(82.3) °F","4
(0)",79%,1,10.1
Columbia ,Atlantico,February,"26.3 °C
(79.4) °F","25.2 °C
(77.4) °F","28.1 °C
(82.7) °F","2
(0)",78%,0,10.3
Columbia ,Atlantico,March,"26.6 °C
(79.9) °F","25.4 °C
(77.8) °F","28.5 °C
(83.4) °F","10
(0)",79%,2,10.3
Columbia ,Atlantico,April,"27.1 °C
(80.8) °F","25.9 °C
(78.6) °F","29.2 °C
(84.5) °F","52
(2)",81%,7,9.9
Columbia ,Atlantico,May,"27.4 °C
(81.3) °F","26.1 °C
(79) °F","29.3 °C
(84.7) °F","171
(6)",84%,16,9
Columbia ,Atlantico,June,"27.6 °C
(81.7) °F","26.4 °C
(79.5) °F","29.3 °C
(84.8) °F","145
(5)",83%,14,9.4
Columbia ,Atlantico,July,"27.6 °C
(81.7) °F","26.5 °C
(79.6) °F","29.2 °C
(84.6) °F","105
(4)",83%,11,10
Columbia ,Atlantico,August,"27.6 °C
(81.7) °F","26.3 °C
(79.4) °F","29.4 °C
(84.9) °F","160
(6)",84%,15,9.3
Columbia ,Atlantico,September,"27.4 °C
(81.3) °F","26 °C
(78.7) °F","29.4 °C
(84.8) °F","236
(9)",84%,19,8.3
Columbia ,Atlantico,October,"26.9 °C
(80.4) °F","25.5 °C
(77.9) °F","28.9 °C
(83.9) °F","293
(11)",85%,20,7.8
Columbia ,Atlantico,November,"26.8 °C
(80.3) °F","25.7 °C
(78.2) °F","28.5 °C
(83.2) °F","175
(6)",84%,16,8.2
Columbia ,Atlantico,December,"26.9 °C
(80.4) °F","25.9 °C
(78.6) °F","28.2 °C
(82.8) °F","43
(1)",81%,5,9.3
Columbia , Bolivar,January,"27.1 °C
(80.8) °F","25.1 °C
(77.1) °F","30.5 °C
(86.9) °F","11
(0)",76%,2,9.7
Columbia , Bolivar,February,"27.5 °C
(81.5) °F","25.2 °C
(77.3) °F","31.5 °C
(88.7) °F","8
(0)",72%,2,9.9
Columbia , Bolivar,March,"27.6 °C
(81.7) °F","25.4 °C
(77.7) °F","31.5 °C
(88.8) °F","23
(0)",74%,4,9.5
Columbia , Bolivar,April,"27.6 °C
(81.7) °F","25.7 °C
(78.2) °F","30.8 °C
(87.5) °F","82
(3)",79%,12,8.3
