National Unit,Year,Value,MigrationNet
brazil,2000,23.61241795227549,-1761.0
brazil,2001,14.573198961676459,3453.0
brazil,2002,22.63892547422903,6018.0
brazil,2003,15.110918106017719,-16908.0
brazil,2004,21.312301642231226,-5390.0
brazil,2005,27.442161755662976,-42926.0
brazil,2006,26.419162901913126,-34007.0
brazil,2007,16.160815210873874,-30331.0
brazil,2008,7.795845731092057,-35373.0
brazil,2009,6.853606368375766,-29357.0
brazil,2010,7.224322703648516,16843.0
brazil,2011,6.226035767602402,33631.0
brazil,2012,6.293952108594614,43451.0
brazil,2013,5.652806326550855,35308.0
brazil,2014,4.78253590095279,24940.0
brazil,2015,3.0662825077061284,4764.0
brazil,2016,3.6281055293881517,82589.0
brazil,2017,4.05484100341107,56362.0
brazil,2018,3.831734591799134,67934.0
brazil,2019,2.857640240752739,69186.0
brazil,2020,4.907611839079867,56880.0
brazil,2021,5.3769753911743825,20376.0
brazil,2022,4.5774420230444965,
brazil,2023,4.644756374995538,
brazil,2024,4.9089256722597625,
colombia,2000,22.550805236258903,-31116.0
colombia,2001,35.0368025730818,-27618.0
colombia,2002,30.8002868001753,-24379.0
colombia,2003,27.729579963107,-33007.0
colombia,2004,21.0570938648206,-25907.0
colombia,2005,16.4964013443623,-41348.0
colombia,2006,26.4832968731749,-39142.0
colombia,2007,39.6651142022886,-49575.0
colombia,2008,33.6918102199563,-63246.0
colombia,2009,41.62476315208,-46902.0
colombia,2010,66.81667730617261,-34185.0
colombia,2011,42.7056148176891,-46273.0
colombia,2012,52.8665587202119,-55913.0
colombia,2013,61.0221726655379,-64686.0
colombia,2014,63.15884673590939,-67516.0
colombia,2015,111.117544957123,-41064.0
colombia,2016,140.51121907202398,79978.0
colombia,2017,97.3183854507199,415618.0
colombia,2018,109.055348434026,494364.0
colombia,2019,132.78853093523298,395803.0
colombia,2020,115.684333089076,229437.0
colombia,2021,111.517409807568,211978.0
colombia,2022,85.128963454207,
colombia,2023,94.75394078514732,
colombia,2024,104.092297880321,
peru,2000,0.113117520855993,
peru,2001,0.0298663611438442,
peru,2002,0.0432056074077627,
peru,2003,0.0187186581448026,
peru,2004,0.0183659939497456,
peru,2005,0.0092532671528312,
peru,2006,0.001924039368912,
peru,2007,0.0019149070759735,
peru,2008,0.0010872145430631,
peru,2009,0.0009829261783662,
peru,2010,0.0001801834075609,
peru,2011,0.0002032997472075,
peru,2012,0.0002401632490625,
peru,2013,0.0007355495626905,
peru,2014,0.0010011957312625,
peru,2015,0.0014407274519707,
peru,2016,0.0015934063032949,
peru,2017,0.0011827002538583,
peru,2018,0.0006457979834279,
peru,2019,0.0003244352119885,
peru,2020,0.0003354386253378,
peru,2021,0.0002052873161583,
peru,2022,0.0002868300846906,
peru,2023,0.0002117174806936,
peru,2024,0.0001996786419934,
suriname,2000,75.1714147179367,
suriname,2001,115.240741648164,
suriname,2002,75.8149005363002,
suriname,2003,63.74268681375859,
suriname,2004,42.1063459323376,
suriname,2005,41.3137972398733,
suriname,2006,11.9374503186036,
suriname,2007,4.08943388858664,
suriname,2008,7.041428351539119,
suriname,2009,5.46327225444754,
suriname,2010,2.78874299925499,
suriname,2011,0.8884885581552739,
suriname,2012,0.57495436910371,
suriname,2013,0.460817746966843,
suriname,2014,0.331506250058818,
suriname,2015,0.014426491127981,
suriname,2016,0.0048830599404352,
suriname,2017,0.0281048129980325,
suriname,2018,0.011605812043229,
suriname,2019,0.0,
suriname,2020,0.0,
suriname,2021,0.0,
suriname,2022,0.0,
suriname,2023,0.0,
suriname,2024,0.0,
venezuela,2000,11.3366571716259,-2004.0
venezuela,2001,6.666252194722779,-2852.0
venezuela,2002,6.34582460829816,-3934.0
venezuela,2003,11.873291577433,-5730.0
venezuela,2004,9.53127085696522,-10798.0
venezuela,2005,11.359923161771,-18400.0
venezuela,2006,15.5055079094963,-27239.0
venezuela,2007,21.1561417709135,-36052.0
venezuela,2008,17.0153294356615,-43636.0
venezuela,2009,32.4069598392584,-50286.0
venezuela,2010,35.1934793796376,-52784.0
venezuela,2011,34.824682445665296,-54377.0
venezuela,2012,36.7430428007188,-55130.0
venezuela,2013,64.9109145968644,-57815.0
venezuela,2014,60.3104562829389,-62437.0
venezuela,2015,74.8279688258365,-77421.0
venezuela,2016,111.9113346785,-283326.0
venezuela,2017,148.726580000034,-817764.0
venezuela,2018,156.257719484833,-1356759.0
venezuela,2019,134.023845710268,-976460.0
venezuela,2020,85.747904522902,-525142.0
venezuela,2021,67.2733654919144,-525116.0
venezuela,2022,60.768447461764104,
venezuela,2023,65.27983806898489,
venezuela,2024,59.60775745815091,
